Date,Open,High,Low,Close,Volume
2017-01-04,3494.377527145,3529.9799767969994,3466.042308955,3524.9706571039987,1446234.7300685053
2017-01-05,3513.055900349,3518.576585861,3442.7589046350004,3468.181236714,1479917.4379978303
2017-01-06,3427.608941972,3466.0653885430006,3406.337356503,3444.4381020780006,1459793.8566386472
2017-01-10,3466.7577668510003,3526.479949237,3445.112359471,3476.5383247930004,1805292.0842466177
2017-01-11,3488.23880894,3512.35223693,3470.938120996,3494.7186335909996,1911700.7587632323
2017-01-12,3510.050123995,3542.398238771,3480.685746806,3518.7984377509997,2105073.9265772384
2017-01-13,3504.688831563,3544.219244996,3489.43231075,3528.7950261549995,1763574.8985431637
2017-01-16,3544.706567338,3556.2576596340004,3497.013526793,3514.9768876579997,1153740.3679759102
2017-01-17,3519.6027944669995,3523.122505336,3449.1195801100002,3452.4131635450003,1226251.180133689
2017-01-18,3419.7159758320004,3485.0483791770002,3398.6161601309996,3470.221183119,1489507.0407399584
2017-01-19,3509.74316689,3537.2745214089996,3482.61082686,3504.7651616050002,1279665.5779506634
2017-01-20,3492.6398669109994,3520.7234546009995,3482.853841872001,3507.310851352,1189932.0249527872
2017-01-23,3478.7208137059997,3523.5357615229996,3463.153023695,3487.4097586179996,1525255.355748353
2017-01-24,3473.458060648,3502.0976303280004,3458.4558387449997,3467.669552416,1289331.107197654
2017-01-25,3505.450015686,3550.8945800929996,3496.463874793,3541.4342615290007,1192983.7743393357
2017-01-26,3646.061693313,3715.109196285,3635.858771594,3709.784202094,1943262.1569047854
2017-01-27,3711.8694242859997,3720.6834209250005,3665.5907270799994,3692.5519077060003,1299369.2250170338
2017-01-30,3667.407837196,3717.170976513,3633.4363766,3696.083700562,1215450.9787386914
2017-01-31,3641.532014691,3666.4536354909997,3615.8349358599994,3634.2311746769997,1408218.5045009092
2017-02-01,3576.269207423,3609.360799167,3532.3918727520004,3588.541236336,1786408.3821131277
2017-02-02,3642.07157253,3651.269724313,3540.094530259,3554.2594725989998,1643175.0195292828
2017-02-03,3585.394936692,3602.257093923,3514.7156230939995,3522.1813734820003,2232224.41762025
2017-02-06,3566.993551994,3582.7625844489994,3483.383411846,3532.0563830580004,2095481.951578711
2017-02-07,3504.1088425319995,3580.249755877,3487.6864379919994,3559.616236351,1669217.183539725
2017-02-08,3555.803570899,3576.106428319,3525.609307724,3567.5774497370003,1573841.7144801598
2017-02-09,3559.150772757999,3592.8301412250007,3526.473189252,3539.5171074510004,1523703.061380538
2017-02-10,3617.7936538960003,3645.0524444299995,3592.612752754,3636.42773959,2023157.0865966324
2017-02-13,3663.751367753,3681.9775642329996,3641.7870124409997,3671.055138653,1465819.007103405
